Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
Hoba,"Iron, IVB",60000000,Found,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=11890,17.91667,-19.58333
Cape York,"Iron, IIIAB",58200000,Found,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=5262,-64.93333,76.13333
Campo del Cielo,"Iron, IAB-MG",50000000,Found,1576,http://www.lpi.usra.edu/meteor/metbull.php?code=5247,-60.58333,-27.46667
Canyon Diablo,"Iron, IAB-MG",30000000,Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=5257,-111.03333,35.05
Armanty,"Iron, IIIE",28000000,Found,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2335,88,47
Gibeon,"Iron, IVA",26000000,Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=10912,18,-25.5
Chupaderos,"Iron, IIIAB",24300000,Found,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5363,-105.1,27
Mundrabilla,"Iron, IAB-ung",24000000,Found,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=16852,127.55,-30.78333
Sikhote-Alin,"Iron, IIAB",23000000,Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23593,134.65333,46.16
Bacubirito,"Iron, ungrouped",22000000,Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=4919,-107.83333,26.2
Mbosi,"Iron, ungrouped",16000000,Found,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=15456,33.06667,-9.11667
Willamette,"Iron, IIIAB",15500000,Found,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=24269,-122.58333,45.36667
Morito,"Iron, IIIAB",10100000,Found,1600,http://www.lpi.usra.edu/meteor/metbull.php?code=16745,-105.43333,27.05
Nantan,"Iron, IAB-MG",9500000,Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=16906,107.7,25.1
Cranbourne,"Iron, IAB-MG",8600000,Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=5463,145.3,-38.1
Santa Catharina,"Iron, IAB-ung",7000000,Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=23162,-48.6,-26.21667
Bendeg?_,"Iron, IC",5360000,Found,1784,http://www.lpi.usra.edu/meteor/metbull.php?code=5015,-39.2,-10.11667
Brenham,"Pallasite, PMG-an",4300000,Found,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=5136,-99.16361,37.5825
Jilin,H5,4000000,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12171,126.16667,44.05
Vaca Muerta,Mesosiderite-A1,3828000,Found,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=24142,-70.5,-25.75
Toluca,"Iron, IAB-sLL",3000000,Found,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=24018,-99.56667,19.56667
Xifu,"Iron, IAB complex",3000000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=54608,120.48333,36.3
Al Haggounia 001,Aubrite,3000000,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44857,-12.5,27.5
Old Woman,"Iron, IIAB",2753000,Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=18007,-115.23333,34.46667
Wabar,"Iron, IIIAB",2550000,Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=24194,50.47222,21.49972
Huckitta,"Pallasite, PMG-an",2300000,Found,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=11922,135.76667,-22.36667
Navajo,"Iron, IIAB",2184000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=16926,-109.5,35.33333
Coahuila,"Iron, IIAB",2100000,Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5387,-102.73333,28.7
Henbury,"Iron, IIIAB",2000000,Found,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=11872,133.16667,-24.56667
Allende,CV3,2000000,Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,-105.31667,26.96667
Campinorte,"Iron, ungrouped",2000000,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=52093,-49.15917,-14.258
Santa Luzia,"Iron, IIAB",1918000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23166,-47.95,-16.26667
Ghubara,L5,1750000,Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=10911,56.14278,19.22778
Odessa (iron),"Iron, IAB-MG",1600000,Found,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=17985,-102.4,31.71667
Gebel Kamil,"Iron, ungrouped",1600000,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52031,26.08778,22.01833
Casas Grandes,"Iron, IIIAB",1545000,Found,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=5285,-107.8,30.4
Bitburg,"Iron, IAB complex",1500000,Found,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=5062,6.53333,49.96667
Quinn Canyon,"Iron, IIIAB",1450000,Found,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=22364,-115.53333,38.08333
Charcas,"Iron, IIIAB",1400000,Found,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=5326,-101.01667,23.08333
Santa Apolonia,"Iron, IIIAB",1316000,Found,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=23160,-98.3,19.21667
